recipe_slug	score_bound
almond-chip-cookies	2.5611270914676805
almond-croissants	2.558245771396914
apple-crisp	2.1863954454617573
apple-crumble	2.30059144069512
apple-pie	2.1725158918146747
asparagus-burger	2.142086883717469
asparagus-quiche	2.140557078031153
bacon-and-egg-breakfast-sandwich	2.1436264503341436
bacon-chocolate-chip-cookies	1.7879325322450053
bacon-egg-muffins	2.065249194023749
bacon-fried-rice	2.17519914773774
bacon-mac-and-cheese	2.216705075113789
bacon-souffle	1.8341373339748448
bacon-wrapped-asparagus	2.2208665894038835
bacon-wrapped-chicken	2.7683459264267447
bacon-wrapped-dates	2.079756347762203
bacon-wrapped-scallops	2.206523508420403
bacon-wrapped-shrimp-skewers	2.24561760410343
berry-crisp	2.0297031156437044
berry-crumble	1.936019161435945
blueberry-crisp	2.0182007225689365
blueberry-crumble	1.9307382036629985
bolognese-sauce	2.2166243983881424
breakfast-burritos	2.2474590256523985
brioche-bread	2.1398209442208684
brioche-bread-with-chocolate	1.7232025700056275
brownies	2.069454578631357
burritos	2.0530433196060214
butter-croissants	1.829708467580851
cherry-cobbler	2.139110352207758
cherry-pie	2.102994211451243
chicken-alfredo-lasagna	2.697303935329036
chicken-fingers	2.7314612317355667
chicken-nuggets	2.799685851202357
chiles-rellenos	2.133379480874683
chocolate-babka	1.8787126648305323
chocolate-cake	1.6930744365615973
chocolate-croissants	1.70696754902654
chocolate-peanut-butter-cake	1.665179032801398
chocolate-souffle	1.6089634803941668
cinnamon-babka	2.0155902750967325
classic-beef-lasagna	2.1249007080670217
cold-noodles-with-tomatoes	2.2158470352070667
cold-sesame-noodles	2.190563713889688
cold-soba-noodles-with-tomato-and-cucumber	2.1640312216597324
cranberry-apple-crisp	2.1287406036622354
cranberry-relish	2.193737695405229
cranberry-sauce	2.138567383181647
croissant-aux-amandes	2.296254938476688
croissants	2.3103157844983704
dan-dan-noodles	2.19982233880518
danishes	2.0994048354216224
enchiladas	2.122365958233727
fajitas	2.199712357004893
falafel	2.0684102852434405
french-toast	2.0322186904888837
fried-oysters	1.8606477643527193
guacamole	2.3263189414556855
lasagna	2.07757656324956
loaded-nachos	2.224409312449788
ma-la-beef	2.173614511849833
ma-la-chicken	2.8165343583662783
maple-bacon-donuts	2.201851250260872
maple-bacon-pancakes	2.0997959766838985
mushroom-quiche	2.7648229082904523
nacho-casserole	2.042186569272711
nacho-dip	2.052408484484669
nacho-fries	2.207018774961671
nacho-salad	2.2093104089140576
nachos	2.0741202620611485
pain-au-chocolat	2.3431089632846085
pasta-primavera	2.1328668477860684
peach-cobbler	2.5973352427630365
peach-crisp	2.5443270661993553
peanut-butter-brownies	1.6542993696516906
peanut-butter-cupcakes	1.8466418932638373
pickled-asparagus	2.1357212845982847
pickled-green-beans	2.2262789680999866
pico-de-gallo	2.203784824559102
quesadillas	2.268989390755454
quiche-lorraine	2.1086373731163666
ramen	2.3777295776299607
soba-noodle-salad-with-peanut-dressing	1.8713181186800238
souffle	2.120624112805846
spam-musubi	2.1358032990231344
spamburger	2.247779085082574
spinach-and-feta-quiche	2.0500260185041568
spinach-and-ricotta-lasagna	2.1890848756921564
spinach-and-ricotta-stuffed-shells	1.9713069466172866
spinach-quiche	2.0922270955045628
strawberry-rhubarb-crisp	2.2150925235223244
sujebi	2.2925108333808373
taco-salad	2.116754927438408
tacos	2.182763125817858
tamales	2.3284353797430173
tempura-udon	2.23654609891218
udon	2.040667675673051
vanilla-souffle	2.113470569492831
vegetable-lasagna	1.890978688156932
vegetarian-mushroom-lasagna	2.4505624176406235
