state	action	reward
exposed-1	do-nothing	0
exposed-1	do-nothing	0
exposed-2	do-nothing	0
exposed-2	do-nothing	0
exposed-3	do-nothing	0
exposed-3	do-nothing	0
symptoms-1	do-nothing	-1
symptoms-1	do-nothing	-1
symptoms-2	do-nothing	-1
symptoms-2	do-nothing	-1
symptoms-3	do-nothing	-1
symptoms-3	do-nothing	-1
recovered	do-nothing	0
exposed-1	drink-oj	0
exposed-1	drink-oj	0
exposed-2	drink-oj	0
exposed-2	drink-oj	0
exposed-3	drink-oj	0
exposed-3	drink-oj	0
symptoms-1	drink-oj	-1
symptoms-1	drink-oj	-1
symptoms-2	drink-oj	-1
symptoms-2	drink-oj	-1
symptoms-3	drink-oj	-1
symptoms-3	drink-oj	-1
recovered	drink-oj	0
exposed-1	sleep-8	0
exposed-1	sleep-8	0
exposed-2	sleep-8	0
exposed-2	sleep-8	0
exposed-3	sleep-8	0
exposed-3	sleep-8	0
symptoms-1	sleep-8	-1
symptoms-1	sleep-8	-1
symptoms-2	sleep-8	-1
symptoms-2	sleep-8	-1
symptoms-3	sleep-8	-1
symptoms-3	sleep-8	-1
recovered	sleep-8	0
