curr_state	curr_action	next_reward	next_state
2043	0	0	1915
1915	-1	0	1786
1786	-1	0	1785
1785	1	0	1914
1914	1	0	1915
1915	-1	0	1786
1786	1	0	1787
1787	0	0	1659
1659	-1	0	1530
1530	0	0	1530
1530	1	0	1531
1531	-1	0	1402
1402	0	0	1402
1402	-1	0	1401
1401	1	0	1530
1530	0	0	1530
1530	0	0	1530
1530	1	0	1531
1531	-1	0	1402
1402	-1	0	1401
1401	-1	0	1528
1528	-1	0	1663
1663	1	0	1776
1776	1	0	1905
1905	1	0	2042
2042	1	0	2043
2043	1	0	1916
1916	1	0	1789
1789	-1	0	1652
1652	0	0	1524
1524	-1	0	1395
1395	-1	0	1274
