feature	ham_probability	spam_probability
ddol	2.1876328303309168e-07	5.541173132846301e-07
bierce	2.1876328303309168e-07	8.311759699269452e-07
ambuien	2.1876328303309168e-07	5.541173132846301e-07
vhenson	2.1876328303309168e-07	5.541173132846301e-07
monsterbustincocks	2.1876328303309168e-07	5.541173132846301e-07
ciphers	2.1876328303309168e-07	1.3852932832115753e-06
vit	2.1876328303309168e-07	4.987055819561671e-06
muesste	4.3752656606618335e-07	2.7705865664231505e-07
xpmgfanea	2.1876328303309168e-07	5.541173132846301e-07
osantos	2.1876328303309168e-07	5.541173132846301e-07
ioeqln	2.1876328303309168e-07	5.541173132846301e-07
uisgbayncegk	2.1876328303309168e-07	5.541173132846301e-07
dedicado	2.1876328303309168e-07	5.541173132846301e-07
dew	2.4063961133640083e-06	3.0476452230654656e-06
amarillo	2.8439226794301917e-06	3.3247038797077806e-06
thehildren	2.1876328303309168e-07	5.541173132846301e-07
9887	6.56289849099275e-07	2.7705865664231505e-07
salientar	2.1876328303309168e-07	5.541173132846301e-07
xvudw	2.1876328303309168e-07	5.541173132846301e-07
cramp	2.1876328303309168e-07	1.6623519398538903e-06
bludgeon	2.1876328303309168e-07	1.9394105964962054e-06
imoni	2.1876328303309168e-07	5.541173132846301e-07
valiuhjm	2.1876328303309168e-07	5.541173132846301e-07
technoiogicaily	2.1876328303309168e-07	1.3852932832115753e-06
lpztam	2.1876328303309168e-07	5.541173132846301e-07
promptitude	2.1876328303309168e-07	1.3852932832115753e-06
controversial	2.2095091586342257e-05	1.3021756862188807e-05
crake	2.1876328303309168e-07	5.541173132846301e-07
optioning	2.1876328303309168e-07	8.311759699269452e-07
protoco	2.1876328303309168e-07	1.7177636711823532e-05
reestablish	8.750531321323667e-07	5.541173132846301e-07
inefficiecy	2.1876328303309168e-07	5.541173132846301e-07
bonsay	2.1876328303309168e-07	5.541173132846301e-06
engrained	2.1876328303309168e-07	5.541173132846301e-07
ucmshykuis	2.1876328303309168e-07	5.541173132846301e-07
yearns	2.1876328303309168e-07	8.311759699269452e-07
reinstated	1.5313429812316417e-06	8.311759699269452e-07
dragnet	6.56289849099275e-07	3.878821192992411e-06
superpriority	4.3752656606618335e-07	2.7705865664231505e-07
zaken	2.1876328303309168e-07	8.311759699269452e-07
papupton	2.1876328303309168e-07	5.541173132846301e-07
diary	4.156502377628742e-06	3.0476452230654656e-06
helenast	2.1876328303309168e-07	8.311759699269452e-07
germanium	2.1876328303309168e-07	2.4935279097808355e-06
akzluw	2.1876328303309168e-07	5.541173132846301e-07
bruckner	2.1876328303309168e-07	1.9394105964962054e-06
icbfb	2.1876328303309168e-07	5.541173132846301e-07
lovemaking	2.1876328303309168e-07	8.311759699269452e-07
morgue	2.1876328303309168e-07	1.6623519398538903e-06
